pl_r_uni_detected,pl_contrast_uni_detected,pl_universe_full_detected
1.9229318,9.565985377836622e-06,70.0
2.0520446,9.001386786971494e-06,78.0
1.1485957,2.2305490068281628e-05,141.0
1.5408283,1.4037374940069712e-05,146.0
1.3731078,1.9018648304995147e-05,176.0
1.2588271,1.61972720955155e-05,201.0
1.6692403,1.181848589454307e-05,205.0
1.0686614,2.6697138388400652e-05,234.0
1.7116885,1.4528969259978607e-05,239.0
1.4120435,0.009421162704427114,34.0
1.9918197,0.010952704245208028,116.0
0.66798406,0.0050500763984280715,138.0
0.76192256,0.0057907476632018985,140.0
1.1394235,0.00572318133963054,152.0
1.4120435,7.63033336036965e-05,34.0
1.9918197,8.870750586782795e-05,116.0
0.66798406,4.09012853553985e-05,138.0
0.76192256,4.690008702986195e-05,140.0
1.4120435,8.28135475103304e-05,34.0
1.9918197,9.627604594397936e-05,116.0
0.66798406,4.4390990249589434e-05,138.0
0.76192256,5.090161074296678e-05,140.0
1.1485957,2.5134762015512624e-05,141.0
1.0686614,3.25633578095893e-05,234.0
1.4120435,0.00012010556240423115,34.0
1.9918197,0.0001396303985494016,116.0
0.66798406,6.438082910217833e-05,138.0
0.76192256,7.382326647463884e-05,140.0
1.1394235,7.296189813330759e-05,152.0
1.0177608,5.990426833405284e-05,191.0
1.1485957,1.7937385005517025e-05,141.0
1.3731078,1.3525283690996872e-05,176.0
1.2588271,1.3012749332415985e-05,201.0
1.6692403,9.660210113239117e-06,205.0
1.0686614,2.305801404443452e-05,234.0
1.7116885,1.1724765064342357e-05,239.0
1.1485957,5.4183592488335384e-05,141.0
1.5408283,3.4518962767945754e-05,146.0
1.3731078,4.085592518512052e-05,176.0
1.2588271,3.93077088306699e-05,201.0
1.6692403,2.9180668640744245e-05,205.0
1.0686614,6.965151476593076e-05,234.0
1.7116885,3.541708515886796e-05,239.0
1.4120435,0.0005697189802134738,34.0
1.9918197,0.0006623347551600473,116.0
0.66798406,0.0003053895220767796,138.0
0.76192256,0.000350179585774764,140.0
0.62539673,0.0009284412954243577,69.0
0.44226457,0.0012628032322026736,79.0
1.0349867,0.0012182336255210644,120.0
0.39280086,0.0018196062100166261,219.0
0.34232178,2.5817641936835565e-06,66.0
1.2910799,5.193579833420195e-06,110.0
1.1485957,1.3626939676108073e-05,141.0
1.5408283,8.844445260413355e-06,146.0
1.3731078,9.879781537887287e-06,176.0
1.2588271,9.98192410006523e-06,201.0
1.6692403,7.512868270287712e-06,205.0
1.0686614,1.7972800721709075e-05,234.0
1.7116885,9.026410136749366e-06,239.0
0.79488386,1.1213361448188627e-05,76.0
1.3731078,2.217943557663145e-05,176.0
1.2588271,2.1338956142213237e-05,201.0
1.0686614,3.781168282363068e-05,234.0
0.28316464,9.188822490090387e-05,12.0
0.15110193,0.00010970745409234226,37.0
