# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
14 Her b,Confirmed,9.653,1.67,2.331,5.215,0.3,0.3,,,,1763.3,0.84,0.84,2.845,0.04,0.04,0.369,0.003,0.003,32.7,5.3,5.3,0.153039,2002,2023-03-03,22.78,0.55,0.55,2451372.7,3.6,3.6,,,,,,,,,,,,,,,,,,,90.0,0.5,0.5,,,,,,,,,,Published in a refereed paper,Radial Velocity,Astrometry,,,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
14 Her c,Confirmed,6.9,1.0,1.7,,,,,,,52596.0,21185.0,50770.0,27.4,7.9,16.0,0.64,0.13,0.13,101.0,33.0,33.0,0.381215,2006,2021-11-12,15.2,6.0,6.0,9100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Radial Velocity,Astrometry,,HD 145675 c,,14 Her,242.5958333,43.8216667,6.67,,,,,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,K0 V,5.1,,,5311.0,87.0,87.0,,,
51 Peg b,Confirmed,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905e-05,3.72905e-05,0.052,,,0.0069,0.0066,0.0069,80.0,10.0,19.0,0.003537,1995,2017-01-26,54.1,72.3,72.3,2450404.4,,,,,,,,,,,,,,,,,,2497.0,0.022,0.022,55.65,0.53,0.53,,,,,,0.5,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,Theoretical,,"CO, H2O",51 Peg,344.3625,20.7686111,5.49,,,,,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,G2 IV,4.0,2.5,2.5,5793.0,70.0,70.0,,,
55 Cnc b,Confirmed,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,0.009303,1996,2017-06-11,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,55 Cnc,133.1541667,28.3338889,5.95,,,,,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,K0IV-V,10.2,2.5,2.5,5196.0,24.0,24.0,,,TOI-1773
CD Cet b,Confirmed,0.01244,0.00136,inf,0.01243,0.00135,0.00135,,,,2.2907,0.00012,0.00012,0.0185,0.0013,0.0013,,,,87.48,87.48,0.25,,2020,2020-06-06,,,,2458804.489,0.018,0.018,,,,,,,,,,,,,,,,,,,6.51,0.23,0.23,464.0,18.0,18.0,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,GJ 1057,,CD Cet,48.345833341,4.774722244,12.0,,,,,8.609,0.007,0.007,0.13,0.16,0.16,0.161,0.01,0.01,0.175,0.006,0.006,M5.0,3.0,2.0,2.0,3130.0,51.0,51.0,,,GJ 1057
GJ 273 b,Confirmed,0.00922,,,0.0069,0.003,0.003,,,,18.64,0.015,0.015,0.091,0.01,0.01,0.1,0.03,0.25,80.0,,,,2017,2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,1.28,0.5,0.45,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten b,,GJ 273,111.852041675,5.2257777894,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382.0,49.0,49.0,,,
GJ 273 c,Confirmed,0.00374,,,0.0038,0.0013,0.0013,,,,4.72322,0.00081,0.00081,0.036,0.004,0.004,0.17,0.12,0.18,80.0,,,,2017,2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.31,0.31,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten c,,GJ 273,111.852041675,5.2257777894,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382.0,49.0,49.0,,,
GJ 273 d,Confirmed,0.03448,,,0.034,0.011,0.0123,,,,413.9,5.5,4.3,0.712,0.076,0.062,0.0,0.17,0.17,80.0,,,,2019,2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,2.15,0.61,0.61,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten d,,GJ 273,111.852041675,5.2257777894,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382.0,49.0,49.0,,,
GJ 273 e,Confirmed,0.0297,,,0.0293,0.0123,0.0135,,,,542.0,16.0,16.0,0.849,0.092,0.083,0.0,0.03,0.2,80.0,,,,2019,2020-06-19,,,,,,,,,,,,,,,,,,,,,,,,,1.73,0.66,0.66,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,Luyten e,,GJ 273,111.852041675,5.2257777894,9.87,,,,4.86,3.8,,,0.09,0.17,0.17,0.29,,,0.293,0.0027,0.0027,M3.5,,,,3382.0,49.0,49.0,,,
GJ 3634 b,Confirmed,0.026,0.007,0.0188,0.022,0.0035,0.0035,,,,2.64561,0.00066,0.00066,0.0287,0.0011,0.0011,0.08,0.057,0.057,59.0,24.0,24.0,0.001449,2011,2012-09-10,84.0,130.0,130.0,2454917.04,0.53,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,,,GJ 3634,164.6458333,-31.1441667,11.95,,,,,19.8,0.6,0.6,,,,0.45,0.05,0.05,0.43,0.03,0.03,M2.5,,,,,,,,,
